"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"April 30, 2018",Colorado,Denver,"5800 Tower Rd",1,0,N/A
"April 30, 2018",Mississippi,Jackson,"747 Wingfield St",1,1,N/A
"April 30, 2018",Indiana,Hobart,"1200 block of West 7th Pl",2,0,N/A
"April 30, 2018",Arizona,"Casa Grande","615 E. Judi",2,1,N/A
"April 30, 2018",Louisiana,"Bienville (county)",N/A,1,0,N/A
"April 30, 2018",Ohio,Columbus,"4300 block of Walford St",1,0,N/A
"April 30, 2018",Ohio,Cleveland,"W 149th St and Puritas Ave",1,0,N/A
"April 30, 2018",California,"Los Angeles","3600 block of W 107th St",2,0,N/A
"April 30, 2018",Florida,Miami,"SW 219th St and 113th Ave",1,0,N/A
"April 30, 2018",Florida,"North Port","Hyde Park and Jeffrey Ave",1,0,N/A
"April 30, 2018",Iowa,Moorland,"2300 block of Carter Ave",1,0,N/A
"April 30, 2018",Texas,Houston,"442 W Little York Rd",2,0,N/A
"April 29, 2018",Washington,"Seattle (Skyway)","12603 Renton Ave S",2,2,N/A
"April 29, 2018",Louisiana,Shreveport,"3161 N Market St",1,0,N/A
"April 29, 2018",Mississippi,Natchez,"6 St Catherine St",1,0,N/A
"April 29, 2018",Texas,Houston,"7930 Corporate Dr",2,1,N/A
"April 29, 2018","North Carolina",Monroe,"1500 block of Massey St",1,3,N/A
"April 29, 2018",Mississippi,Jackson,"Montebello Drive",1,0,N/A
"April 29, 2018",Mississippi,"Horn Lake","6100 block of Goodman Road",1,1,N/A
"April 29, 2018",California,"San Diego","Affinity Ct",1,0,N/A
"April 29, 2018",Virginia,"Newport News","900 block of 37th St",1,0,N/A
"April 29, 2018",California,Albany,"600 block of Masonic Ave",1,0,N/A
"April 29, 2018",Wisconsin,Columbus,"505 S Birdsey St",1,0,N/A
"April 29, 2018",Georgia,Columbus,"1545 Alta Vista Dr",1,0,N/A
"April 29, 2018",Michigan,Detroit,"12900 block of Rutherford St",1,0,N/A
"April 29, 2018",Michigan,Holland,"13000 block of Westland Ct",3,0,N/A
"April 29, 2018",Florida,Orlando,"Briarmoor Ct",2,0,N/A
"April 29, 2018","North Carolina","Lumber Bridge","Shannon Rd and Old Wire Rd",1,1,N/A
"April 29, 2018","North Carolina",Franklin,"164 Pheasant Dr",1,0,N/A
"April 29, 2018",Florida,"West Palm Beach","1969 S Military Trail",1,3,N/A
"April 29, 2018","New Jersey","Colts Neck","NJ-18 North",1,1,N/A
"April 29, 2018",Illinois,Chicago,"4800 block of W Monroe St",1,1,N/A
"April 29, 2018",Florida,Miami,"SW 19th St and 19th Ave",1,0,N/A
"April 29, 2018",Florida,Jacksonville,"1001 University Blvd N",1,0,N/A
"April 29, 2018",Iowa,"Cedar Rapids (Bertram)","1200 block of Bertram St",1,1,N/A
"April 29, 2018",Illinois,"Fox Lake","100 block of Eagle Point Road",1,0,N/A
"April 29, 2018",Illinois,Elgin,"1 block of Longwood Pl",2,0,N/A
"April 29, 2018",Nevada,"Las Vegas","2000 block of E Tonopah Ave",1,0,N/A
"April 29, 2018",Virginia,"Richmond (North Chesterfield)","4800 Burnt Oak Dr",1,0,N/A
"April 29, 2018",Pennsylvania,Dover,"N Salem Church Rd and W Canal Rd",1,0,N/A
"April 29, 2018",Missouri,"Saint Louis","5900 block of Hamilton Terrace",1,0,N/A
"April 29, 2018",Missouri,"Saint Louis","3500 block of Sugar Crest Drive",1,0,N/A
"April 29, 2018",Missouri,"Saint Louis","601 Clark Ave",1,1,N/A
"April 29, 2018",Kansas,Wichita,"2400 block of N Prince St",1,0,N/A
"April 28, 2018",Mississippi,Starkville,"Highway 12",1,0,N/A
"April 28, 2018",Washington,"Pe Ell","500 block of 3rd St",1,0,N/A
"April 28, 2018",Mississippi,Sumrall,"Meredith Cir",1,0,N/A
"April 28, 2018",California,"Elk Grove","2201 Longport Ct",1,0,N/A
"April 28, 2018","South Dakota",Watertown,"600 block of E Kemp Ave",1,0,N/A
"April 28, 2018",Wyoming,Jackson,"Elk Ridge Rd",1,0,N/A
"April 28, 2018",Colorado,Denver,"11920 Washington St",1,0,N/A
"April 28, 2018",Kentucky,Louisville,"1700 block of St. Louis Ave",1,0,N/A
"April 28, 2018",Texas,"Texas City","3500 block of Palm Ave",1,1,N/A
"April 28, 2018",Virginia,Lynchburg,"1100 block of 18th St",1,1,N/A
"April 28, 2018",Alabama,Selma,"203 Highland Ave",1,2,N/A
"April 28, 2018","South Carolina",Pickens,"100 Block of Sunny Ln",1,0,N/A
"April 28, 2018","South Carolina","North Charleston","2311 Ashley Phosphate Rd",1,0,N/A
"April 28, 2018",Missouri,Bridgeton,"Ayrshire Drive",1,2,N/A
"April 28, 2018","South Carolina","North Augusta","310 W Hugh St",1,1,N/A
"April 28, 2018",California,Bakersfield,"3100 block of Niles St",1,0,N/A
"April 28, 2018",Georgia,Savannah,"2100 block of Louisiana Ave",1,0,N/A
"April 28, 2018",Ohio,"Cincinnati (North College Hill)","1600 block of De Armand Ave",1,0,N/A
"April 28, 2018",Wisconsin,Racine,"11th St and Grand Ave",1,0,N/A
"April 28, 2018",Georgia,Columbus,"Winston Rd",1,0,N/A
"April 28, 2018",Georgia,Augusta,"1800 block of Bertram Ct",1,0,N/A
"April 28, 2018",Texas,Dallas,"202 S Jim Miller Rd",1,0,N/A
"April 28, 2018",Michigan,"Ann Arbor","2201 Glencoe Hills Dr",1,0,N/A
"April 28, 2018","New York",Rochester,"Sherwood Ave",1,0,N/A
"April 28, 2018",Maryland,Baltimore,"Caroline St and Preston St",1,0,N/A
"April 28, 2018",Maryland,Baltimore,"700 block of N Collington Ave",1,0,N/A
"April 28, 2018","District of Columbia",Washington,"700 block of Gresham Pl",1,1,N/A
"April 28, 2018",Arkansas,"West Memphis","1101 S Avalon St",1,0,N/A
"April 28, 2018",Massachusetts,Boston,"39 Hartford St",1,0,N/A
"April 28, 2018",Missouri,"Ozark (county)",N/A,1,0,N/A
"April 28, 2018",California,Oceanside,"3100 block of Jacqueline Ln",1,2,N/A
"April 28, 2018",Georgia,Atlanta,"1504 Bouldercrest Rd",1,0,N/A
"April 28, 2018",Georgia,"Suwanee (Johns Creek)","Abbots Bridge Rd and Sweet Creek Rd",1,0,N/A
"April 27, 2018",Missouri,"Kansas City","10615 Blue Ridge Blvd",1,0,N/A
"April 27, 2018",Mississippi,Jackson,"Colonial Drive",1,0,N/A
"April 27, 2018",Arizona,Nogales,"631 W Mesa Verde Dr",1,0,N/A
"April 27, 2018",Nevada,"Las Vegas","Dramatic Way",1,1,N/A
"April 27, 2018",Indiana,Boonville,"1699 Pelzer Rd",1,0,N/A
"April 27, 2018",California,"Los Angeles","7730 S Western Ave",1,0,N/A
"April 27, 2018",California,Azusa,"600 block of Glennfinnan Ave",1,0,N/A
"April 27, 2018","New Mexico",Portales,"2400 block of S Ave I",1,0,N/A
"April 27, 2018",Texas,Odessa,"9100 Andrews Hwy",1,0,N/A
"April 27, 2018",Mississippi,Natchez,"Brenham St and Minor St",1,0,N/A
"April 27, 2018","New Mexico",Albuquerque,"8300 Central Ave SE",1,0,N/A
"April 27, 2018",Louisiana,"Baton Rouge","1800 block of Jade Ave",1,1,N/A
"April 27, 2018",Mississippi,Brandon,"1222 Trickham Bridge Road",2,0,N/A
"April 27, 2018",Tennessee,Lawrenceburg,"US 43",1,0,N/A
"April 27, 2018",Kentucky,Weeksbury,"1900 KY 466",1,0,N/A
"April 27, 2018",Florida,Lakeland,"1200 block of Unitah Ave",1,0,N/A
"April 27, 2018",Georgia,Marietta,"700 block of Franklin Gateway",1,0,N/A
"April 27, 2018",Illinois,"Park Forest","100 block of Algonquin St",1,1,N/A
"April 27, 2018",Illinois,Chicago,"600 block of W 63rd St",1,0,N/A
"April 27, 2018",Florida,"Fort Pierce","501 Bethany Ct",2,0,N/A
"April 27, 2018","North Carolina",Albemarle,"Clover Ln",1,0,N/A
"April 27, 2018",Illinois,Chicago,"8300 block of S Marshfield Ave",1,0,N/A
"April 27, 2018",Pennsylvania,Philadelphia,"200 block of Stenton Ave",1,0,N/A
"April 27, 2018",Iowa,"Des Moines","E 30th St and Garfield Ave",1,0,N/A
"April 27, 2018",Colorado,Rifle,"1000 Airport Rd",1,0,N/A
"April 27, 2018",Georgia,Marietta,"1700 block of Bells Ferry Rd",1,0,N/A
"April 27, 2018","South Carolina",Hanahan,"Belvedere Dr",1,0,N/A
"April 27, 2018",Missouri,"Saint Louis","4900 block of Chippewa St",1,0,N/A
"April 27, 2018",Missouri,"Saint Louis","4400 block of Red Bud Ave",1,0,N/A
"April 26, 2018",Maryland,Baltimore,"2900 block of Belmont Ave",1,0,N/A
"April 26, 2018",Arizona,"El Mirage","Dysart Rd and Cactus Rd",1,1,N/A
"April 26, 2018",Texas,Houston,"9802 Gulf Fwy",1,0,N/A
"April 26, 2018",Georgia,Ellijay,"Ridgemont Dr",1,0,N/A
"April 26, 2018","North Carolina",Fayetteville,"6500 block of St Louis St",1,1,N/A
"April 26, 2018","North Carolina",Durham,"1908 Torredge Rd",1,0,N/A
"April 26, 2018",California,"Moreno Valley","27000 block of Auburn Ln",2,0,N/A
"April 26, 2018",Florida,Ocala,"7900 block of NW 39th Ave Rd",1,0,N/A
"April 26, 2018",Kentucky,Winchester,"2655 Two Mile Road",2,0,N/A
"April 26, 2018",California,Palermo,"2100 block of Stanley Dr",1,0,N/A
"April 26, 2018",Alabama,Tuscaloosa,"11000 block of Oak Arbor Way",1,1,N/A
"April 26, 2018",Pennsylvania,Allentown,"315 W Linden St",1,0,N/A
"April 26, 2018",Kentucky,Louisville,"600 block of S 39th St",1,0,N/A
"April 26, 2018",Texas,Houston,"11810 Chimney Rock Rd",2,0,N/A
"April 26, 2018",California,Lancaster,"Munz Ranch Rd",2,0,N/A
"April 26, 2018",California,Olivehurst,"6th Ave",1,0,N/A
"April 26, 2018","New York",Bronx,"1728 Crotona Park E",1,1,N/A
"April 26, 2018",Ohio,Cleveland,"3400 block of E 119th St",1,0,N/A
"April 26, 2018","New Jersey",Newark,"S 20th St",1,0,N/A
"April 26, 2018",Illinois,Matteson,"21600 block of S Cicero Ave",1,0,N/A
"April 26, 2018",Maryland,Baltimore,"2600 block of Shirley Ave",1,0,N/A
"April 26, 2018",Minnesota,Minneapolis,"1900 block of Newton Ave N",1,0,N/A
"April 26, 2018",Illinois,Chicago,"1500 block of N Washtenaw Ave",1,0,N/A
"April 26, 2018",Illinois,Chicago,"4300 block of W Adams St",1,0,N/A
"April 26, 2018",Texas,"San Antonio","4848 Goldfield Dr",1,0,N/A
"April 26, 2018",Arkansas,"Pine Bluff","700 block of Pullen St",1,0,N/A
"April 26, 2018","South Carolina",Columbia,"400 block of Crane Creek Drive",1,0,N/A
"April 26, 2018",Missouri,"Saint Louis","Goodfellow Blvd and Natural Bridge Ave",1,0,N/A
"April 26, 2018",Texas,Vernon,"US 287",1,0,N/A
"April 25, 2018",Georgia,Chester,"1169 Chester-Alamo Highway",2,0,N/A
"April 25, 2018",Illinois,Normal,"1444 E College Ave",2,0,N/A
"April 25, 2018",Indiana,Lafontaine,"123 Clear Creek Dr",1,0,N/A
"April 25, 2018",Colorado,"Colorado Springs","1006 N 19th St",1,0,N/A
"April 25, 2018",Texas,Dallas,"4999 S Buckner Blvd",1,0,N/A
"April 25, 2018",Pennsylvania,Homestead,"E Park Way and West St",1,0,N/A
"April 25, 2018",Texas,Plano,"5401 Independence Pkwy",1,0,N/A
"April 25, 2018",Louisiana,"New Orleans (Harahan)","W Imperial Dr",1,0,N/A
"April 25, 2018",Georgia,Macon,"3670 Bloomfield Dr",2,0,N/A
"April 25, 2018",Alabama,Mobile,"Dr. Martin Luther King Jr Avenue and N Lafayette Street",1,1,N/A
"April 25, 2018",Arkansas,Jonesboro,"828 S Caraway Rd",1,0,N/A
"April 25, 2018",Florida,Ocala,"3341 SE 4th St",1,0,N/A
"April 25, 2018",Ohio,Toledo,"1400 block of Maplewood Ave",1,0,N/A
"April 25, 2018","District of Columbia",Washington,"400 block of 61st St NE",2,0,N/A
"April 25, 2018",Maine,Norridgewock,"3 Waterville Rd",1,0,N/A
"April 25, 2018",Illinois,Chicago,"2900 block of S Shields Ave",1,0,N/A
"April 25, 2018",Florida,Jacksonville,"8200 block of Merivale Rd",1,0,N/A
"April 25, 2018",Illinois,Chicago,"7400 block of S Phillips Ave",1,0,N/A
"April 25, 2018",Illinois,Chicago,"4800 block of W Monroe St",1,0,N/A
"April 25, 2018",Texas,"San Antonio","3900 block of SE Military Dr",2,0,N/A
"April 25, 2018",Kentucky,Louisville,"400 block of North 42nd Street",1,0,N/A
"April 25, 2018",Maryland,Woodstock,"10600 block of Davis Ave",2,0,N/A
"April 25, 2018","New Jersey",Newark,"900 block of Bergen St",2,0,N/A
"April 25, 2018",Colorado,Denver,"E Colfax Ave and Quebec St",1,0,N/A
"April 25, 2018",Montana,"Hungry Horse",N/A,1,0,N/A
"April 25, 2018",Missouri,"Saint Louis (Spanish Lake)","1151 Northdale Drive",3,1,N/A
"April 25, 2018","North Carolina","Cedar Grove","5100 block of Eno Cemetery Road",1,0,N/A
"April 24, 2018",Texas,Dallas,"11600 Forest Central Dr",1,2,N/A
"April 24, 2018",Pennsylvania,"Bryn Mawr","43 Lowrys Ln",2,0,N/A
"April 24, 2018",Tennessee,"Johnson City","114 W Poplar St",2,0,N/A
"April 24, 2018",Tennessee,Memphis,"3700 block of Hermitage Dr",1,0,N/A
"April 24, 2018",Texas,Madisonville,"101 N May St",1,0,N/A
"April 24, 2018",Missouri,"Kansas City","9th St and Brooklyn Ave",1,0,N/A
"April 24, 2018",Missouri,"Saint Louis","4200 block of N Grand Ave",1,0,N/A
"April 24, 2018",Illinois,Chicago,"5100 block of W Chicago Ave",1,0,N/A
"April 24, 2018",California,"San Diego","Olivewood Ter",1,0,N/A
"April 24, 2018",California,Sacramento,"1800 block of Del Paso Blvd",1,1,N/A
"April 24, 2018",California,"Los Angeles","700 block of 154th St",1,0,N/A
"April 24, 2018",California,Wasco,"1900 block of 4th St",1,0,N/A
"April 24, 2018",Louisiana,Georgetown,"US Highway 165",1,0,N/A
"April 24, 2018",Louisiana,"New Orleans","Yorktown Drive and Middleboro Road",1,0,N/A
"April 24, 2018",Alabama,Mobile,"Driftwood Dr N",1,0,N/A
"April 24, 2018",Pennsylvania,York,"100 block of E Maple St",1,1,N/A
"April 24, 2018",Alabama,Birmingham,"4016 37th Ave N",1,0,N/A
"April 24, 2018",Louisiana,"New Orleans","1500 block of Franklin Ave",1,0,N/A
"April 24, 2018",Kentucky,Louisville,"500 block of 29th Street",1,0,N/A
"April 24, 2018",Texas,Vidor,"100 block of Alamo St",1,0,N/A
"April 24, 2018",Illinois,Chicago,"3800 block of W Roosevelt Rd",1,0,N/A
"April 24, 2018",Ohio,Cleveland,"18314 Euclid Ave",1,0,N/A
"April 24, 2018",Illinois,Chicago,"12100 block of S Stewart Ave",1,0,N/A
"April 24, 2018",Pennsylvania,York,"Park St and Park Pl",1,0,N/A
"April 24, 2018",Minnesota,"Saint Paul (Apple Valley)","8700 block of Hunters Way",1,0,N/A
"April 24, 2018",Texas,Garland,"3200 block of Buckingham Rd",1,0,N/A
"April 24, 2018",Texas,Amarillo,"4100 block of Harmony St",1,0,N/A
"April 24, 2018",Maryland,Laurel,"15800 block of Millbrook Ln",1,0,N/A
"April 24, 2018",Texas,"San Antonio","100 E Houston St",1,0,N/A
"April 24, 2018","South Carolina",Loris,"Church St and Spring St",1,1,N/A
"April 24, 2018","New York","New York (Manhattan)","60 E 104th St",1,0,N/A
"April 24, 2018",Kentucky,Irvine,"1420 Pryse Rd",1,0,N/A
"April 24, 2018",Washington,Yakima,N/A,1,0,N/A
"April 23, 2018",Texas,Killeen,"800 block of Root Ave",1,0,N/A
"April 23, 2018",Texas,"Grand Prairie","1000 Ikea Way",1,0,N/A
"April 23, 2018",Tennessee,Knoxville,"1108 Amber Glades Ln",1,0,N/A
"April 23, 2018",Indiana,Indianapolis,"E 38th St and N Franklin Rd",1,0,N/A
"April 23, 2018",Kentucky,Louisville,"10502 Southern Meadows Dr",1,0,N/A
"April 23, 2018",California,Bakersfield,"Pioneer Dr",1,0,N/A
"April 23, 2018",California,Loleta,US-101,1,0,N/A
"April 23, 2018",Missouri,Bunker,N/A,1,0,N/A
"April 23, 2018",Florida,"West Palm Beach","2845 N Military Trl",1,0,N/A
"April 23, 2018",Louisiana,Arnaudville,"Orphe Guidry Rd",1,0,N/A
"April 23, 2018",Nevada,"Las Vegas","9700 block of Powell Plateau Ct",1,0,N/A
"April 23, 2018",Arizona,"Peach Springs","115 Mile Marker AZ-66",1,0,N/A
"April 23, 2018","New Mexico","Las Cruces","Athenian Way",1,0,N/A
"April 23, 2018",Arizona,Phoenix,"W Van Buren St and N 64th Dr",1,0,N/A
"April 23, 2018",Ohio,Streetsboro,"900 block of Alden Dr",1,0,N/A
"April 23, 2018",Pennsylvania,Philadelphia,"4400 block of Germantown Ave",1,0,N/A
"April 23, 2018","New York",Bronx,"Lafayette Ave and Boynton Ave",1,0,N/A
"April 23, 2018","New York",Syracuse,"160 Hudson St",1,0,N/A
"April 23, 2018",Massachusetts,Springfield,"Worthington St and Federal St",1,0,N/A
"April 22, 2018",Illinois,Chicago,"1300 block of N Kildare Ave",1,0,N/A
"April 22, 2018",California,Oxnard,"2900 block of Ocean Dr",1,0,N/A
"April 22, 2018",Oklahoma,Tulsa,"12200 block of E 38th Pl",2,0,N/A
"April 22, 2018","New York",Syracuse,"415 Cortland Ave",1,0,N/A
"April 22, 2018",Kentucky,Lexington,"300 block of Corral Street",1,0,N/A
"April 22, 2018",California,"Union City","4300 block of Feldspar Ct",1,0,N/A
"April 22, 2018",Colorado,"Colorado Springs","6875 Space Village Ave",1,0,N/A
"April 22, 2018",California,Modesto,"1800 block of Rancho Encantado",3,0,N/A
"April 22, 2018",Alabama,Birmingham,"1412 36th St N",1,0,N/A
"April 22, 2018",Texas,Houston,"2725 Reed Rd",1,0,N/A
"April 22, 2018","North Carolina",Monroe,"611 W Roosevelt Blvd",1,3,N/A
"April 22, 2018",Oklahoma,Jenks,"N Birch St and W F St",1,0,N/A
"April 22, 2018",Louisiana,Paradis,"100 block of Lynn Dr",1,1,N/A
"April 22, 2018",California,Victorville,"13000 block of High Crest St",1,0,N/A
"April 22, 2018",Alabama,Montgomery,"3200 block of Mobile Highway",1,0,N/A
"April 22, 2018","West Virginia",Morgantown,"Stewartstown Rd",1,0,N/A
"April 22, 2018","North Carolina",Henderson,"Brunswick Ln",1,0,N/A
"April 22, 2018","New York",Brooklyn,"Hendrix St and Sutter Ave",1,0,N/A
"April 22, 2018",Tennessee,Antioch,"3571 Murfreesboro Pike",4,3,N/A
"April 22, 2018",Arkansas,Trumann,"512 Industrial Park Dr",1,0,N/A
"April 22, 2018",Texas,"San Antonio","535 W Hutchins Place",1,0,N/A
"April 22, 2018",Missouri,"Saint Louis","5200 block of Gilmore Ave",1,0,N/A
"April 22, 2018",Louisiana,Duson,I-10,1,0,N/A
"April 22, 2018",Oklahoma,Bessie,"404 7th St",2,0,N/A
"April 22, 2018",Ohio,Bellevue,"Fairfield Ave",1,0,N/A
"April 22, 2018",Illinois,Chicago,"3300 block of W Hollywood Ave",1,0,N/A
"April 22, 2018",Louisiana,"New Orleans","1900 block of St Roch Ave",1,5,N/A
"April 22, 2018",Ohio,Cincinnati,"1500 block of Crest Hill Avenue",1,0,N/A
"April 22, 2018",Kentucky,Louisville,"3425 Bardstown Rd",2,0,N/A
"April 22, 2018",Florida,Orlando,"2200 Americana Blvd",1,0,N/A
"April 22, 2018",Florida,Gainesville,"2824 NE 12th St",1,0,N/A
"April 22, 2018",Maryland,Baltimore,"1200 block of Whitelock St",1,0,N/A
"April 22, 2018",Colorado,"Colorado Springs","5150 Airport Rd",1,1,N/A
